text,label
I love this movie,positive
This is an amazing product,positive
I hate this place,negative
Worst experience ever,negative
I really enjoyed the performance,positive
It's terrible and disappointing,negative
It was great	positive
Poor service	negative
It was awful	negative
Loved every moment	positive
I hate this place	negative
I love this movie	positive
This is an amazing product	positive
Poor service	negative
I love this movie	positive
Would not recommend	negative
I hate this place	negative
This is an amazing product	positive
I really enjoyed the performance	positive
I hate this place	negative
Total waste of time	negative
Poor service	negative
Would not recommend	negative
Regret buying this	negative
Regret buying this	negative
Would not recommend	negative
This is an amazing product	positive
Delightful experience	positive
I hate this place	negative
Absolutely horrible	negative
Really bad	negative
Absolutely fantastic	positive
Loved every moment	positive
Very unsatisfied	negative
Delightful experience	positive
Brilliant work	positive
Worst experience ever	negative
Delightful experience	positive
Absolutely fantastic	positive
Absolutely fantastic	positive
Absolutely fantastic	positive
Absolutely fantastic	positive
Very unsatisfied	negative
I really enjoyed the performance	positive
It was great	positive
Very satisfied	positive
Regret buying this	negative
Extremely disappointing	negative
Regret buying this	negative
It was awful	negative
It's terrible and disappointing	negative
I really enjoyed the performance	positive
Total waste of time	negative
Very satisfied	positive
Regret buying this	negative
I really enjoyed the performance	positive
Total waste of time	negative
I love this movie	positive
It's terrible and disappointing	negative
It's terrible and disappointing	negative
Total waste of time	negative
Extremely disappointing	negative
Total waste of time	negative
Very satisfied	positive
Would not recommend	negative
I really enjoyed the performance	positive
I love this movie	positive
Worst experience ever	negative
Extremely disappointing	negative
I really enjoyed the performance	positive
This is an amazing product	positive
Poor service	negative
Poor service	negative
Highly recommend this	positive
Loved every moment	positive
Super happy with the result	positive
Delightful experience	positive
Brilliant work	positive
Absolutely fantastic	positive
Brilliant work	positive
I hate this place	negative
Exceptional service	positive
It was great	positive
Absolutely fantastic	positive
Poor service	negative
Regret buying this	negative
Very satisfied	positive
Exceptional service	positive
Delightful experience	positive
Very satisfied	positive
Total waste of time	negative
This is an amazing product	positive
Would not recommend	negative
Worst experience ever	negative
Very unsatisfied	negative
Delightful experience	positive
Loved every moment	positive
Highly recommend this	positive
Would not recommend	negative
Total waste of time	negative
Absolutely fantastic	positive
I love this movie	positive
Extremely disappointing	negative
It was great	positive
Delightful experience	positive
I hate this place	negative
Total waste of time	negative
I really enjoyed the performance	positive
It's terrible and disappointing	negative
Regret buying this	negative
Extremely disappointing	negative
Exceptional service	positive
Absolutely fantastic	positive
Really bad	negative
It was great	positive
I hate this place	negative
Really bad	negative
I really enjoyed the performance	positive
Very satisfied	positive
Very satisfied	positive
Worst experience ever	negative
Really bad	negative
Loved every moment	positive
Total waste of time	negative
Total waste of time	negative
Absolutely horrible	negative
Really bad	negative
Extremely disappointing	negative
It's terrible and disappointing	negative
Very unsatisfied	negative
Exceptional service	positive
I hate this place	negative
Brilliant work	positive
Total waste of time	negative
Loved every moment	positive
Absolutely horrible	negative
Really bad	negative
Very unsatisfied	negative
It was awful	negative
Very satisfied	positive
Poor service	negative
This is an amazing product	positive
Worst experience ever	negative
Poor service	negative
Super happy with the result	positive
Really bad	negative
This is an amazing product	positive
Very unsatisfied	negative
Would not recommend	negative
Very satisfied	positive
Absolutely horrible	negative
Exceptional service	positive
Exceptional service	positive
This is an amazing product	positive
Regret buying this	negative
I hate this place	negative
Would not recommend	negative
Highly recommend this	positive
Delightful experience	positive
I really enjoyed the performance	positive
Very satisfied	positive
Really bad	negative
Exceptional service	positive
Brilliant work	positive
Poor service	negative
Loved every moment	positive
I hate this place	negative
Super happy with the result	positive
Highly recommend this	positive
Brilliant work	positive
I hate this place	negative
Delightful experience	positive
Brilliant work	positive
Loved every moment	positive
Worst experience ever	negative
Poor service	negative
Super happy with the result	positive
Exceptional service	positive
I love this movie	positive
Exceptional service	positive
It was awful	negative
Brilliant work	positive
Worst experience ever	negative
Absolutely horrible	negative
It was awful	negative
Exceptional service	positive
Poor service	negative
Total waste of time	negative
Super happy with the result	positive
Poor service	negative
Delightful experience	positive
This is an amazing product	positive
Delightful experience	positive
Exceptional service	positive
I love this movie	positive
This is an amazing product	positive
Extremely disappointing	negative
Loved every moment	positive
Very satisfied	positive
Would not recommend	negative
Very satisfied	positive
Extremely disappointing	negative
Would not recommend	negative
Exceptional service	positive
Highly recommend this	positive
Extremely disappointing	negative
Would not recommend	negative
Worst experience ever	negative
I hate this place	negative
Very unsatisfied	negative
Total waste of time	negative
This is an amazing product	positive
Super happy with the result	positive
Extremely disappointing	negative
Delightful experience	positive
Super happy with the result	positive
I really enjoyed the performance	positive
Would not recommend	negative
Brilliant work	positive
I love this movie	positive
Poor service	negative
Really bad	negative
It's terrible and disappointing	negative
Really bad	negative
Exceptional service	positive
I hate this place	negative
Very satisfied	positive
Absolutely fantastic	positive
This is an amazing product	positive
Brilliant work	positive
Really bad	negative
Would not recommend	negative
Super happy with the result	positive
Brilliant work	positive
Very satisfied	positive
Very unsatisfied	negative
Absolutely horrible	negative
It was awful	negative
It was awful	negative
It was awful	negative
This is an amazing product	positive
It's terrible and disappointing	negative
Worst experience ever	negative
It's terrible and disappointing	negative
Worst experience ever	negative
Really bad	negative
Worst experience ever	negative
Loved every moment	positive
Highly recommend this	positive
Very unsatisfied	negative
Exceptional service	positive
Worst experience ever	negative
Loved every moment	positive
Would not recommend	negative
Poor service	negative
This is an amazing product	positive
Very unsatisfied	negative
Worst experience ever	negative
It was great	positive
I hate this place	negative
Delightful experience	positive
Brilliant work	positive
Really bad	negative
I hate this place	negative
Very unsatisfied	negative
Very satisfied	positive
Really bad	negative
I really enjoyed the performance	positive
Very unsatisfied	negative
Regret buying this	negative
Extremely disappointing	negative
Absolutely horrible	negative
Super happy with the result	positive
I love this movie	positive
This is an amazing product	positive
Highly recommend this	positive
Would not recommend	negative
Would not recommend	negative
It was awful	negative
Very satisfied	positive
This is an amazing product	positive
Extremely disappointing	negative
I really enjoyed the performance	positive
It was awful	negative
Highly recommend this	positive
Would not recommend	negative
I love this movie	positive
It was great	positive
Really bad	negative
Loved every moment	positive
Absolutely horrible	negative
Total waste of time	negative
Worst experience ever	negative
Loved every moment	positive
Absolutely horrible	negative
Total waste of time	negative
Exceptional service	positive
Exceptional service	positive
It was great	positive
Absolutely fantastic	positive
Absolutely fantastic	positive
Super happy with the result	positive
Very satisfied	positive
Really bad	negative
Absolutely horrible	negative
Exceptional service	positive
Super happy with the result	positive
It was great	positive
Highly recommend this	positive
Would not recommend	negative
Highly recommend this	positive
I really enjoyed the performance	positive
This is an amazing product	positive
Really bad	negative
I hate this place	negative
I hate this place	negative
Brilliant work	positive
Exceptional service	positive
Delightful experience	positive
Brilliant work	positive
Poor service	negative
Exceptional service	positive
I really enjoyed the performance	positive
Regret buying this	negative
I love this movie	positive
Regret buying this	negative
It's terrible and disappointing	negative
I love this movie	positive
Exceptional service	positive
It was awful	negative
It was awful	negative
Really bad	negative
Absolutely fantastic	positive
Brilliant work	positive
Very satisfied	positive
Worst experience ever	negative
Delightful experience	positive
I hate this place	negative
Absolutely horrible	negative
Very satisfied	positive
Loved every moment	positive
Loved every moment	positive
Delightful experience	positive
Regret buying this	negative
It's terrible and disappointing	negative
Absolutely horrible	negative
Worst experience ever	negative
Super happy with the result	positive
Loved every moment	positive
Poor service	negative
Worst experience ever	negative
It's terrible and disappointing	negative
Extremely disappointing	negative
I love this movie	positive
Total waste of time	negative
Highly recommend this	positive
Extremely disappointing	negative
Would not recommend	negative
It was awful	negative
Absolutely horrible	negative
Regret buying this	negative
Very unsatisfied	negative
Brilliant work	positive
Delightful experience	positive
I hate this place	negative
Delightful experience	positive
I hate this place	negative
Delightful experience	positive
Extremely disappointing	negative
Would not recommend	negative
Absolutely fantastic	positive
This is an amazing product	positive
It was great	positive
